Sample	mappedNetworkCwR.count_Hong_Kong_to_New_York	mappedNetworkCwR.count_Hong_Kong_to_New_Zealand	mappedNetworkCwR.count_New_York_to_Hong_Kong	mappedNetworkCwR.count_New_York_to_New_Zealand	mappedNetworkCwR.count_New_Zealand_to_Hong_Kong	mappedNetworkCwR.count_New_Zealand_to_New_York
582000	1	1	0	0	3	3
583000	0	0	1	4	2	0
584000	1	3	0	0	3	1
585000	1	4	1	0	1	0
586000	0	1	0	0	2	2
587000	0	0	0	0	2	3
588000	0	3	0	1	5	4
589000	1	2	1	3	2	5
590000	1	2	1	0	4	2
591000	0	1	0	1	3	3
592000	0	1	2	1	1	2
593000	0	1	0	0	3	2
594000	0	2	0	0	6	2
595000	1	0	0	0	3	1
596000	0	1	2	2	1	1
597000	0	1	0	0	3	2
598000	0	1	2	0	1	3
599000	0	0	0	5	2	2
600000	1	0	2	3	1	1
601000	0	0	3	3	0	0
602000	0	0	0	1	2	4
603000	1	1	3	2	1	0
604000	0	2	2	4	1	6
605000	1	2	1	2	0	3
606000	0	0	2	1	0	4
607000	0	0	0	0	2	3
608000	1	0	0	1	3	2
609000	3	0	0	1	4	1
610000	2	2	1	1	1	2
611000	2	2	1	0	2	1
612000	2	0	1	0	3	1
613000	1	0	0	0	3	1
614000	0	0	0	0	2	2
615000	2	2	1	0	4	1
616000	2	0	0	0	3	1
617000	0	0	0	2	2	1
618000	0	0	0	0	2	2
619000	0	0	0	0	2	2
620000	1	0	0	0	3	1
621000	1	0	0	1	3	2
622000	3	1	0	1	0	0
623000	0	0	2	4	0	2
624000	3	0	1	2	0	0
625000	4	0	0	2	3	0
626000	4	0	0	2	0	0
627000	1	0	2	3	1	0
628000	0	0	1	3	1	0
629000	0	0	0	3	2	1
630000	1	0	0	1	2	1
631000	2	0	2	1	1	1
632000	5	0	0	2	0	0
633000	4	1	0	3	0	2
634000	1	0	1	3	2	0
635000	0	0	2	2	0	0
636000	2	2	0	0	0	0
637000	0	0	2	2	0	0
638000	3	1	4	1	2	0
639000	5	0	2	2	3	0
640000	0	0	1	3	1	0
641000	1	0	2	4	1	0
642000	3	0	4	4	1	1
643000	0	0	2	2	0	0
644000	0	0	2	2	0	0
645000	2	0	2	4	1	1
646000	0	0	1	3	1	0
647000	2	2	1	1	0	0
648000	0	2	2	2	0	2
649000	0	3	3	1	1	0
650000	2	3	2	2	1	0
651000	1	0	0	0	3	1
652000	3	0	2	3	0	0
653000	3	2	3	1	0	1
654000	1	3	3	1	1	2
655000	1	2	4	0	0	0
656000	1	2	0	0	6	1
657000	1	3	2	0	2	2
658000	0	3	4	0	0	0
659000	2	3	3	0	1	0
660000	1	1	1	0	2	2
661000	1	1	4	1	0	0
662000	1	2	4	1	1	0
663000	3	2	4	0	0	0
664000	1	0	3	2	0	0
665000	4	3	5	0	0	1
666000	2	1	3	2	1	0
667000	3	2	2	1	0	1
668000	3	2	8	0	0	0
669000	1	1	4	1	0	0
670000	1	3	4	0	0	1
671000	0	0	0	0	2	2
672000	0	0	1	0	1	3
673000	0	0	2	2	0	3
674000	1	1	5	1	0	0
675000	0	1	2	2	0	2
676000	0	3	7	0	0	1
677000	4	1	6	3	0	3
678000	1	4	4	1	0	1
679000	1	3	4	1	1	0
680000	2	3	7	0	0	0
681000	4	2	6	1	0	0
682000	0	5	4	1	1	3
683000	2	2	6	2	1	0
684000	3	4	7	0	1	0
685000	5	2	7	0	0	0
686000	3	0	5	3	0	1
687000	2	0	5	3	0	1
688000	4	3	7	1	0	1
689000	10	4	9	1	4	1
690000	10	1	5	4	1	0
691000	4	1	2	3	4	0
692000	7	1	3	3	3	0
693000	7	0	3	3	0	0
694000	0	0	3	4	1	0
695000	5	1	4	2	1	0
696000	2	4	0	0	2	0
697000	7	3	4	0	3	0
698000	5	2	1	1	1	0
699000	1	1	2	1	0	0
700000	0	0	2	3	1	0
701000	1	1	2	3	2	0
702000	1	0	3	2	0	0
703000	0	0	2	2	0	0
704000	0	0	1	3	1	0
705000	0	0	2	3	1	1
706000	3	0	1	3	1	0
707000	1	1	2	3	2	0
708000	3	2	1	0	0	0
709000	1	0	2	4	1	1
710000	1	1	1	3	3	1
711000	0	1	3	2	0	1
712000	1	1	2	3	2	0
713000	0	1	2	2	1	0
714000	0	0	2	6	0	1
715000	1	4	1	1	1	1
716000	1	4	0	0	0	1
717000	2	2	0	1	0	0
718000	1	3	1	1	1	1
719000	3	5	0	0	4	0
720000	4	1	0	3	0	1
721000	3	1	1	3	0	0
722000	5	1	1	3	2	0
723000	0	1	2	3	1	0
724000	2	2	0	2	1	0
725000	2	1	1	2	0	0
726000	2	3	2	0	0	0
727000	3	1	0	1	0	0
728000	1	1	0	2	3	0
729000	2	2	0	1	0	0
730000	2	0	2	2	3	0
731000	3	3	2	0	1	0
732000	1	1	4	1	0	0
733000	0	0	2	2	1	0
734000	2	0	0	0	5	0
735000	0	0	2	2	0	0
736000	5	0	1	2	2	0
737000	3	0	2	4	2	1
738000	1	3	3	2	2	0
739000	0	2	3	2	0	0
740000	3	1	1	3	6	0
741000	6	1	2	2	0	0
742000	2	2	7	0	0	0
743000	3	1	3	1	0	0
744000	7	2	4	0	3	0
745000	5	1	3	2	5	0
746000	4	7	3	0	9	0
747000	0	1	6	1	0	0
748000	0	3	4	0	1	0
749000	2	3	6	1	3	0
750000	0	2	4	1	2	0
751000	1	5	1	1	8	0
752000	1	6	0	0	14	1
753000	0	2	2	3	4	1
754000	2	3	3	2	6	1
755000	0	5	6	1	3	2
756000	0	1	4	2	1	0
757000	0	4	0	0	8	2
758000	0	0	0	1	3	2
759000	0	0	0	0	2	3
760000	0	0	3	2	0	0
761000	0	2	1	2	4	2
762000	0	2	1	0	1	4
763000	0	0	2	2	2	4
764000	1	1	2	0	2	4
765000	1	2	5	2	0	4
